time,x,y,velocity_x,velocity_y,acceleration_x,acceleration_y,theta,firing
0,0,0,1.70635,-1.28208,0,0,0,0
0.1,0.170635,-0.128208,1.70635,-1.28208,-0,0,-25.5138,0
0.2,0.34127,-0.256417,1.70635,-1.28208,-0,0,-25.5177,0
0.3,0.511904,-0.384625,1.70635,-1.28208,0,0,-2.3397,0
0.4,0.683935,-0.511401,1.73426,-1.25343,0.279074,0.286561,-2.34296,1
0.5,0.857267,-0.634746,1.73239,-1.21347,-0.0186282,0.399566,-1.52421,1
0.6,1.02873,-0.755171,1.6969,-1.19503,-0.354958,0.184405,-0.479135,1
0.7,1.19643,-0.874858,1.65707,-1.1987,-0.39831,-0.036735,0.0919671,1
0.8,1.36015,-0.994916,1.61724,-1.20246,-0.398237,-0.0375087,0.0939098,1
0.9,1.51995,-1.11461,1.57877,-1.1915,-0.384692,0.109599,-0.277547,1
1,1.6764,-1.23236,1.55028,-1.16342,-0.284908,0.280763,-0.778071,1
1.1,1.83074,-1.34682,1.53648,-1.12588,-0.138073,0.375414,-1.21836,1
1.2,1.98422,-1.45742,1.53329,-1.086,-0.0318402,0.398731,-1.49111,1
1.3,2.13755,-1.56402,1.53328,-1.046,-0.000149199,0.4,-1.57042,1
1.4,2.29071,-1.66663,1.5298,-1.00616,-0.0347927,0.398484,-1.4837,1
1.5,2.44311,-1.76533,1.51834,-0.967832,-0.114574,0.38324,-1.28029,1
1.6,2.59389,-1.86041,1.49719,-0.93388,-0.211483,0.339522,-1.01372,1
1.7,2.74212,-1.95246,1.46749,-0.907088,-0.29702,0.267916,-0.733925,1
1.8,2.8871,-2.04224,1.43206,-0.888528,-0.35433,0.185607,-0.482525,1
1.9,3.02839,-2.13052,1.39372,-0.877119,-0.383384,0.11409,-0.289242,1
2,3.16579,-2.2179,1.3543,-0.870332,-0.394201,0.0678629,-0.170482,1
2.1,3.29924,-2.30467,1.31464,-0.865128,-0.396599,0.0520477,-0.130489,1
2.2,3.42873,-2.39085,1.27517,-0.858594,-0.394628,0.0653351,-0.164073,1
2.3,3.55431,-2.4762,1.23651,-0.848328,-0.386601,0.102663,-0.259563,1
2.4,3.67612,-2.56025,1.19969,-0.832704,-0.368227,0.156234,-0.401267,1
2.5,3.79441,-2.64244,1.16605,-0.811072,-0.336455,0.216328,-0.571413,1
2.6,3.90955,-2.72218,1.13683,-0.783752,-0.292174,0.273193,-0.751836,1
2.7,4.02203,-2.79896,1.11277,-0.751795,-0.240569,0.319572,-0.925515,1
2.8,4.13236,-2.87238,1.09384,-0.716557,-0.189275,0.352385,-1.07789,1
2.9,4.24102,-2.94217,1.07927,-0.679308,-0.145775,0.372491,-1.19777,1
3,4.34837,-3.00819,1.06771,-0.641013,-0.115564,0.382943,-1.27771,1
3.1,4.45463,-3.07035,1.05755,-0.602325,-0.101609,0.386879,-1.31396,1
3.2,4.55986,-3.12866,1.04708,-0.563719,-0.104652,0.386067,-1.30608,1
3.3,4.66395,-3.18313,1.03472,-0.525678,-0.123661,0.380405,-1.25649,1
3.4,4.76665,-3.23385,1.01911,-0.488849,-0.156071,0.368296,-1.16997,1
